GEOID,NAME,NAMELSAD,ALAND,DISTRICT,TCODE,SCHID
5001537075,Johnson,Johnson town,117378144,Lamoille North MUSD B,336,107
5002137685,Killington,Killington town,122587615,Mountain Views School District,588,188
5000537900,Kirby,Kirby town,63961519,Northeast Kingdom Choice School District,339,108
5000339025,Landgrove,Landgrove town,22934584,Taconic and Green Regional SD,342,109
5000139325,Leicester,Leicester town,53966710,Otter Valley UUSD,345,110
5000939700,Lemington,Lemington town,91762257,Northeast Kingdom Choice School District,348,111
5000939775,Lewis,Lewis town,100713120,Lewis,351,000
5000140075,Lincoln,Lincoln town,118130903,Lincoln,354,112
5002540225,Londonderry,Londonderry town,91862173,Taconic and Green Regional SD,357,113
5001940525,Lowell,Lowell town,146401788,Lowell,360,114
5001940525,Lowell,Lowell town,146401788,North Country Sr UHSD,360,114
5002741275,Ludlow,Ludlow town,90002333,Ludlow - Mt. Holly UUSD,363,115
5000941425,Lunenburg,Lunenburg town,116998026,Kingdom East USD,366,116
5000541725,Lyndon,Lyndon town,101891984,Kingdom East USD,369,117
5000942475,Maidstone,Maidstone town,79498953,Northeast Kingdom Choice School District,372,118
5000342850,Manchester,Manchester town,108660996,Taconic and Green Regional SD,375,119
5002543375,Marlboro,Marlboro town,104503689,Marlboro,378,120
5002343600,Marshfield,Marshfield town,112174794,Twinfield USD,381,121
5002144125,Mendon,Mendon town,98309766,Barstow UUSD,384,122
5000144350,Middlebury,Middlebury town,101608654,Addison Central USD,387,123
5002344500,Middlesex,Middlesex town,102280224,Washington Central UUSD,390,124
5002144800,Middletown Springs,Middletown Springs town,58791398,Wells Spring Unified Union District,393,125
5000745250,Milton,Milton town,133608687,Milton,396,126
5000145550,Monkton,Monkton town,92963472,Mt. Abraham USD,399,127
5001145850,Montgomery,Montgomery town,145942558,Northern Mountain Valley UUSD,402,128
5002346000,Montpelier,Montpelier city,26048126,Montpelier Roxbury School District ,405,129
5002346225,Moretown,Moretown town,102857700,Harwood UUSD,408,130
5001946450,Morgan,Morgan town,80822256,Morgan,411,131
5001946450,Morgan,Morgan town,80822256,North Country Jr UHSD,411,131
5001946450,Morgan,Morgan town,80822256,North Country Sr UHSD,411,131
5001546675,Morristown,Morristown town,131520485,Elmore-Morristown UUSD,414,132
5002147200,Mount Holly,Mount Holly town,127162742,Ludlow - Mt. Holly UUSD,417,133
5002147425,Mount Tabor,Mount Tabor town,114239500,Taconic and Green Regional SD,420,134
5000148700,New Haven,New Haven town,106590692,Mt. Abraham USD,432,138
5000547725,Newark,Newark town,95243417,Kingdom East USD,423,135
5001748175a,Newbury Less Wells River,Newbury Less Wells River,160989236,Oxbow UUSD,426a,136a
5002548400,Newfane,Newfane town,102981054,West River Modified Union Education District,429,137
5001948850,Newport City,Newport city,15171890,Newport City,435,139
5001948925,Newport Town,Newport town,107555208,Newport Town,438,140
5001948850,Newport City,Newport city,15171890,North Country Jr UHSD,435,139
5001948925,Newport Town,Newport town,107555208,North Country Sr UHSD,438,140
5001948850,Newport City,Newport city,15171890,North Country Sr UHSD,435,139
5001350650,North Hero,North Hero town,34846768,Champlain Islands UUSD,444,143
5002350275,Northfield,Northfield town,115595913,Paine Mountain School District,441,142
5000952750,Norton,Norton town,99428306,Northeast Kingdom Choice School District,447,144
5002752900,Norwich,Norwich town,115239694,Dresden Interstate UHSD,450,145
5002752900,Norwich,Norwich town,115239694,Norwich,450,145
5001753425,Orange,Orange town,100199779,Echo Valley Community School District,453,146
5000153725,Orwell,Orwell town,122300017,Slate Valley UUSD,459,148
5000153950,Panton,Panton town,40092401,Addison Northwest USD,462,149
5002154250,Pawlet,Pawlet town,110964556,Metawee School District,465,150
5000554400,Peacham,Peacham town,120906410,Peacham,468,151
5000355000,Peru,Peru town,96791086,Taconic and Green Regional SD,474,152
5002155450,Pittsfield,Pittsfield town,53038633,Pittsfield,477,153
5002155600,Pittsford,Pittsford town,112113009,Otter Valley UUSD,480,154
5002355825,Plainfield,Plainfield town,54396776,Twinfield USD,483,155
5002756050,Plymouth,Plymouth town,124771309,Mountain Views School District,486,156
5002756350,Pomfret,Pomfret town,102240236,Mountain Views School District,489,157
